method,train_set,test_set,scenario,error
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.54850282526584
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.54850282526584
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.54850282526584
centroid,POCO#STANDING,POCO#STANDING,auto,0.7264154614248162
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.7264154614248162
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.7264154614248162
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.7264154614248162
centroid,POCO#STANDING,POCO#STANDING,auto,2.558591876603951
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.558591876603951
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.558591876603951
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.558591876603951
centroid,POCO#STANDING,POCO#STANDING,auto,0.5215725571244431
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,0.5215725571244431
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,0.5215725571244431
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,0.5215725571244431
centroid,POCO#STANDING,POCO#STANDING,auto,2.18502412408873
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.18502412408873
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.18502412408873
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.18502412408873
centroid,POCO#STANDING,POCO#STANDING,auto,1.508621808141057
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.508621808141057
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.508621808141057
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.508621808141057
centroid,POCO#STANDING,POCO#STANDING,auto,2.0084718457456874
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.0084718457456874
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.0084718457456874
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.0084718457456874
centroid,POCO#STANDING,POCO#STANDING,auto,1.349242672752649
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.349242672752649
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.349242672752649
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.349242672752649
centroid,POCO#STANDING,POCO#STANDING,auto,1.2218913222327834
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.2218913222327834
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.2218913222327834
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.2218913222327834
centroid,POCO#STANDING,POCO#STANDING,auto,1.385402616335716
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,1.385402616335716
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,1.385402616335716
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,1.385402616335716
centroid,POCO#STANDING,POCO#STANDING,auto,2.408344636504816
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.408344636504816
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.408344636504816
centroid,SAMSUNG#TRIPOD,POCO#STANDING,cross-both,2.408344636504816
centroid,POCO#STANDING,POCO#STANDING,auto,2.927596236853641
centroid,POCO#TRIPOD,POCO#STANDING,cross-pose,2.927596236853641
centroid,SAMSUNG#STANDING,POCO#STANDING,cross-device,2.927596236853641
